Tanggal,Produk,Jumlah_Unit_Terjual,Harga_Per_Unit,Total_Penjualan,Jenis_Promosi,Ketersediaan_Stok,Kampanye_Pemasaran,Inflasi,Suku_Bunga,Tingkat_Pengangguran,Suhu,Curah_Hujan,Aktivitas_Kompetitor
2019-01-01,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-01-02,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-01-03,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-01-04,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-01-05,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-01-06,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-01-07,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-01-08,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-01-09,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-01-10,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-01-11,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-01-12,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-01-13,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-01-14,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-01-15,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-01-16,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-01-17,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-01-18,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-01-19,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-01-20,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-01-21,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-01-22,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-01-23,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-01-24,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-01-25,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-01-26,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-01-27,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-01-28,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-01-29,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-01-30,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-01-31,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-02-01,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-02-02,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-02-03,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-02-04,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-02-05,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-02-06,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-02-07,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-02-08,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-02-09,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-02-10,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-02-11,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-02-12,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-02-13,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-02-14,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-02-15,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-02-16,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-02-17,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-02-18,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-02-19,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-02-20,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-02-21,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-02-22,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-02-23,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-02-24,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-02-25,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-02-26,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-02-27,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-02-28,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-03-01,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-03-02,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-03-03,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-03-04,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-03-05,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-03-06,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-03-07,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-03-08,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-03-09,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-03-10,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-03-11,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-03-12,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-03-13,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-03-14,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-03-15,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-03-16,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-03-17,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-03-18,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-03-19,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-03-20,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-03-21,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-03-22,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-03-23,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-03-24,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-03-25,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-03-26,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-03-27,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-03-28,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-03-29,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-03-30,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-03-31,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-04-01,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-04-02,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-04-03,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-04-04,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-04-05,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-04-06,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-04-07,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-04-08,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-04-09,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-04-10,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-04-11,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-04-12,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
